country,country3,DateOfLockdownStarted1,DateOfLockdownEnded1,DaysInLockdown1,DateOfLockdownStarted2,DateOfLockdownEnded2,DaysInLockdown2,kind
AE,ARE,20200313,20200518,66,20200323,20200502,40.0,"L1,L2"
AL,ALB,20200313,20200601,80,20200313,20200601,80.0,L2
AO,AGO,20200327,,186,20200327,20200526,60.0,L2
AR,ARG,20200319,,196,20200319,,196.0,L2
AT,AUT,20200316,20200501,46,20200316,20200501,46.0,L2
AU,AUS,20200324,20200529,66,20200402,20200515,43.0,"L1,L2"
AZ,AZE,20200331,,182,20200331,20200518,48.0,L2
BA,BIH,20200320,20200521,62,20200320,20200521,62.0,L2
BE,BEL,20200318,20200608,82,20200318,20200608,82.0,L2
BF,BFA,20200321,20200910,173,20200321,20200601,72.0,L2
BO,BOL,20200317,,198,20200317,,198.0,L2
BR,BRA,20200313,,202,20200505,,149.0,"L1,L2"
CD,COD,20200406,,176,20200406,20200722,107.0,L2
CL,CHL,20200325,,191,20200325,,191.0,L2
CN,CHN,20200123,,247,20200201,20200408,67.0,"L1,L2"
CO,COL,20200325,20200901,160,20200325,20200901,160.0,L2
CU,CUB,20200324,20200703,101,20200324,20200618,86.0,L2
CY,CYP,20200324,,189,20200324,20200521,58.0,L2
CZ,CZE,20200315,20200601,78,20200315,20200421,37.0,L2
DE,DEU,20200309,20200506,58,20200321,20200506,46.0,"L1,L2"
DO,DOM,20200317,,192,20200418,20200628,71.0,"L1,L2"
DZ,DZA,20200323,,193,20200323,,193.0,L2
EC,ECU,20200317,20200914,181,20200317,20200914,181.0,L2
EE,EST,20200329,20200518,50,20200329,20200518,50.0,L2
EG,EGY,20200325,,184,20200325,20200607,74.0,L2
ES,ESP,20200314,20200621,99,20200314,20200527,74.0,L2
FR,FRA,20200317,20200622,97,20200317,20200511,55.0,L2
GB,GBR,20200313,20200801,141,20200322,20200513,52.0,"L1,L2"
GR,GRC,20200323,,190,20200323,20200530,68.0,L2
GT,GTM,20200322,,183,20200322,,183.0,L2
HN,HND,20200316,,200,20200316,,200.0,L2
HR,HRV,20200323,20200605,74,20200323,20200511,49.0,L2
HT,HTI,20200319,,197,20200319,20200720,123.0,L2
HU,HUN,20200312,20200911,183,20200327,20200518,52.0,"L1,L2"
ID,IDN,20200410,,172,20200410,,172.0,L2
IE,IRL,20200326,20200626,92,20200328,20200518,51.0,"L1,L2"
IL,ISR,20200317,20200718,123,20200320,20200718,120.0,"L1,L2"
IN,IND,20200126,,248,20200322,,192.0,"L1,L2"
IQ,IRQ,20200313,,203,20200313,,203.0,L2
IT,ITA,20200223,20200727,155,20200223,20200504,71.0,L2
JO,JOR,20200318,,191,20200318,20200512,55.0,L2
KE,KEN,20200327,,186,20200327,20200901,158.0,L2
KW,KWT,20200322,,195,20200322,20200728,128.0,L2
KZ,KAZ,20200319,,194,20200319,20200705,108.0,L2
LB,LBN,20200316,20200720,126,20200318,20200503,46.0,"L1,L2"
LK,LKA,20200318,,197,20200318,20200628,102.0,L2
LY,LBY,20200322,,194,20200322,,194.0,L2
MA,MAR,20200320,20200624,96,20200320,20200624,96.0,L2
MM,MMR,20200404,,174,20200414,,164.0,"L1,L2"
MR,MRT,20200319,20200710,113,20200319,20200710,113.0,L2
MX,MEX,20200330,,182,20200330,20200911,165.0,L2
NG,NGA,20200323,,186,20200329,20200504,36.0,"L1,L2"
NL,NLD,20200306,,207,20200323,20200511,49.0,"L1,L2"
NP,NPL,20200320,,193,20200323,,189.0,"L1,L2"
NZ,NZL,20200321,20200514,54,20200323,20200514,52.0,"L1,L2"
OM,OMN,20200410,,174,20200410,20200521,41.0,L2
